Index,X,Y,Distance_to_Next
355,-0.358743867294379,0.151504905993761,0.0561576259719822
356,-0.302817325709839,0.146415613193994,0.214101769234544
357,-0.516393758050981,0.161404780542171,0.381514189669424
358,-0.135915805989498,0.133304871036671,0.222589233857994
359,-0.357953918999101,0.148958733199834,0.159856367999086
360,-0.517496026463959,0.158977432493202,0.214585575054879
361,-0.303446081772108,0.143825198365903,0.0538591625920495
362,-0.357244186592197,0.146389045647538,0.16159514303227
363,-0.518521650844377,0.156516719418278,0.00266589838612835
364,-0.519469622810448,0.154025060662207,0.21585667193922
365,-0.303993314126728,0.141216344227132,0.0526853622631618
366,-0.356615367874383,0.143798369823344,0.272095897725772
367,-0.0849775329079421,0.128016602687239,0.435994628881051
368,-0.520339010327461,0.151504905993761,0.38520483042525
369,-0.135699239808673,0.130648052966535,0.220620812944072
370,-0.356068081093326,0.141189252849017,0.0516749277113317
371,-0.304458484741644,0.138591615771247,0.216918351864558
372,-0.521128958622739,0.148958733199834,0.00266589838625457
373,-0.521838691029643,0.146389045647538,0.166419882669454
374,-0.355602864334742,0.138564259977784,0.0508288167810722
375,-0.304841136266987,0.135953593599424,0.217767717874492
376,-0.522467509747457,0.143798369823344,0.167432510667281
377,-0.355220174994429,0.135925972071846,0.219797566089566
378,-0.135566076577561,0.127985751195183,0.387673629548819
379,-0.523014796528514,0.141189252849017,0.218016516655813
380,-0.305140892483905,0.133304871383416,0.218402456125151
381,-0.523480013287099,0.138564259977784,0.16864252763321
382,-0.354920389327617,0.133276983064661,0.168963079889798
383,-0.523862702627412,0.135925972071846,0.21856897780983
384,-0.305357458675644,0.130648053314189,0.220393951102564
385,-0.0850271622693981,0.125351434757476,0.269728097829287
386,-0.354703802080621,0.130619897411179,0.169479516276776
387,-0.524162488294223,0.133276983064661,0.218735873316696
388,-0.30549062191767,0.127985751543292,0.169995068121779
389,-0.135516447221107,0.125320583265193,0.388898735449787
390,-0.524379075541219,0.130619897411179,0.169829322399257
391,-0.354570626198438,0.127957327526474,0.169941625224965
392,-0.524512251423403,0.127957327526474,0.218987874694145
393,-0.305540251285038,0.125320583613529,0.0489807497380108
394,-0.3545209926192,0.125291891218012,0.17004089238344
395,-0.52456188500264,0.125291891218012,0.00266589838628128
396,-0.524527927480449,0.122626209111559,0.169972977339057
397,-0.354554950141392,0.122626209111559,0.0490486607084329
398,-0.305506297982902,0.122655169885547,0.169955897448745
399,-0.135550400534157,0.122655169537438,0.38886933153735
400,-0.524410412243014,0.119962902074349,0.439425640941812
401,-0.0849932089608956,0.122686021029494,0.269693004579228
402,-0.354672465378826,0.119962902074349,0.0492836786529241
403,-0.305388795393355,0.119992130961919,0.218837162932048
404,-0.52420945483027,0.117304588638262,0.00266589838626034
405,-0.5239252528213,0.114653882425955,0.169072610081659
406,-0.35487342279157,0.117304588638262,0.0496855725029944
407,-0.305187859044054,0.11733408510986,0.218435037630304
408,-0.523558085640161,0.112013389580397,0.168421160824477
409,-0.35515762480054,0.114653882425955,0.219554628306269
410,-0.135667903134618,0.119992130614264,0.387585562718581
411,-0.523108314280762,0.109385706203284,0.218268934461384
412,-0.304903686492707,0.114683645688046,0.21781637599291
413,-0.522576380953524,0.106773415801854,0.167133750939833
414,-0.355524791981679,0.112013389580397,0.166622296506034
415,-0.521962808648823,0.104179086749127,0.217568431907199
416,-0.304536557134725,0.11204341857615,0.219805738766793
417,-0.0848757063654375,0.120022982106093,0.271307467446311
418,-0.355974563341078,0.109385706203284,0.165476650066822
419,-0.521268200623581,0.101605269759375,0.385720187674773
420,-0.135868839494833,0.117334084762888,0.168404242970307
421,-0.304086831927179,0.109415999613475,0.0524862315352774
422,-0.356506496668317,0.106773415801854,0.164168308934155
423,-0.520493239808729,0.0990544953785957,0.00266589838615905
424,-0.519638688136638,0.0965292714984116,0.162698559453426
425,-0.357120068973018,0.104179086749127,0.0536293918329469
426,-0.303554953034109,0.106803972046237,0.215529185771917
427,-0.518705385791691,0.0940320808890647,0.161068846664146
428,-0.35781467699826,0.101605269759375,0.160194498650971
429,-0.517694250386285,0.0915653787590145,0.215124736211147
430,-0.302941443392683,0.104209903988703,0.167116965283236
431,-0.136153012056639,0.114683645342211,0.381310363880675
